YY;MM;OD;PAX
2008;6;ATLMIA;124668
2008;6;ATLMSP;106958
2008;6;ATLMSY;87047
2008;6;ATLORD;127241
2008;6;ATLPBI;84728
2008;6;ATLPHL;151395
2008;6;ATLPHX;106407
2008;6;ATLRDU;103860
2008;6;ATLRSW;78682
2008;6;ATLSFO;119532
2008;6;ATLTPA;168464
2008;6;AUSDFW;98944
2008;6;BOSCLT;76659
2008;6;BOSDCA;86741
2008;6;BOSORD;153318
2008;6;BOSPHL;68558
2008;6;BOSSFO;76803
2008;6;CLTDFW;75835
2008;6;CLTLGA;78260
2008;6;CLTMCO;77640
2008;6;CLTORD;93316
2008;6;DALHOU;107524
2008;6;DCAORD;126156
2008;6;DENDFW;164732
2008;6;DENIAH;103621
2008;6;DENLAS;149787
2008;6;DENLAX;180667
2008;6;DENMSP;109057
2008;6;DENORD;155467
2008;6;DENPHX;136924
2008;6;DENSAN;103026
2008;6;DENSEA;140966
2008;6;DENSFO;120757
2008;6;DENSLC;112797
2008;6;DFWLAS;108728
2008;6;DFWLAX;151859
2008;6;DFWLGA;97600
2008;6;DFWMIA;81544
2008;6;DFWORD;163910
2008;6;DFWPHX;100447
2008;6;DFWSAT;99434
2008;6;DFWSFO;86303
2008;6;DTWMCO;101856
2008;6;EWRLAX;91835
2008;6;EWRMCO;102428
2008;6;EWRORD;129854
2008;6;EWRSFO;75554
2008;6;FLLLGA;107248
2008;6;HNLITO;98019
2008;6;HNLKOA;114412
2008;6;HNLLAX;180748
2008;6;HNLLIH;145817
2008;6;HNLOGG;182750
2008;6;IADLAX;121513
2008;6;IADSFO;94609
2008;6;IAHLAX;105473
2008;6;IAHORD;92039
2008;6;JFKLAX;218941
2008;6;JFKMCO;103089
2008;6;JFKSFO;192470
2008;6;JFKSJU;103127
2008;6;LASLAX;170450
2008;6;LASORD;113130
2008;6;LASPHX;142819
2008;6;LASSEA;103497
2008;6;LASSFO;155638
2008;6;LAXMIA;70117
2008;6;LAXORD;189994
2008;6;LAXPHX;123756
2008;6;LAXSEA;159631
2008;6;LAXSFO;249851
2008;6;LAXSJC;81345
2008;6;LGAMIA;82871
2008;6;LGAORD;198536
2008;6;MCOPHL;135631
2008;6;MSPORD;170886
2008;6;MSPPHX;80315
2008;6;ORDPHL;133930
2008;6;ORDPHX;112089
2008;6;ORDSEA;112450
2008;6;ORDSFO;159636
2008;6;PHXSAN;120810
2008;6;PHXSEA;94312
2008;6;PHXSLC;96209
